"","PlayerName","Season","PuttingAverage","DrivingDistance","DrivingAccuracy","ScoringAvg","Scrambling","OnePutts","TwoPutts","ThreePutts","AvgOfficialWGR","ProximityToHole","GreensFringeInReg","SandSave","OfficialMoney"
"213","Geoff Ogilvy",2011,1.749,290,62.89,70.53,20.97,508,629,35,3.13,412,71.28,52.29,1916994
"214","David Toms",2011,1.749,279.1,71.82,69.55,32.08,519,759,34,3.5,391,79.16,55.93,3858089
"215","Shane Bertsch",2011,1.75,280.1,67.05,70.55,30,401,561,30,0.42,391,74.1,48.89,488584
"216","Chris Kirk",2011,1.751,295.7,56.47,70.29,23.53,617,893,40,1.64,398,78.1,53.42,1877626
"217","Hunter Mahan",2011,1.751,291.6,62.85,69.98,31.25,626,900,58,3.76,442,79.62,51.43,3503539
"218","Joe Ogilvie",2011,1.751,291.6,56.62,70.8,26.83,498,659,34,0.39,439,74.53,52.94,726866
"219","Lucas Glover",2011,1.754,294.6,61.05,70.74,31.15,516,763,41,2.03,414,77.94,47.1,1823327
"220","Charlie Wi",2011,1.754,285.8,61.35,70.76,37.29,623,813,35,1.14,453,75.25,53.01,1188493
"221","Brian Gay",2011,1.755,269.8,72.77,70.32,33.72,651,832,39,0.85,392,70.15,63.4,1157525
"222","Pat Perez",2011,1.755,291.4,63.64,70.79,19.44,566,742,44,1,414,74.33,51.88,1295253
"223","George McNeill",2011,1.756,295,59.95,70.59,16.92,430,633,25,1.07,420,75.25,45.36,1458109
"224","Ryan Moore",2011,1.756,290.1,63.1,70.63,37.93,559,740,32,2.36,427,75.3,46.4,1942906
"225","Vaughn Taylor",2011,1.756,284.1,64.22,70.8,26.17,639,912,35,0.55,413,76.04,40.77,423907
"226","Brian Davis",2011,1.757,283.3,70.33,70.4,27.85,750,NA,52,1.41,407,76.87,51.65,1308008
"227","Zach Johnson",2011,1.758,278.2,71.06,70.08,35.48,572,784,33,3.09,406,75.77,54.61,1880405
"228","Dustin Johnson",2011,1.759,314.2,57.17,70.75,28.3,468,739,51,5.27,417,79.65,41.48,4309961
"229","Martin Laird",2011,1.761,303,58.51,70.17,32.76,535,775,36,2.76,438,76.09,44.17,2676508
"230","Matt McQuillan",2011,1.761,285.4,64.45,71.25,32.86,399,548,28,0.51,421,72.12,45.45,582932
"231","Ian Poulter",2011,1.761,282.8,64.76,70.9,17.5,363,525,23,3.88,407,74.84,55.17,739925
"232","Blake Adams",2011,1.762,292.1,65.79,70.42,30.36,804,NA,54,0.87,439,75.75,45.92,1100558
"233","J.B. Holmes",2011,1.762,318.4,52.09,70.77,27.27,356,558,27,1.53,436,81.09,43.33,1398583
"234","Matt Jones",2011,1.762,293.9,55.52,71.25,22.78,513,719,29,0.77,456,78.47,49.64,602392
